afore_nombre,enero,febrero,concepto
Coppel,290561.24443,540688.61182,Ingresos por comisión
Coppel,109995.99349,240622.36188,Costos de operación
Coppel,8146.22833,26522.01405,Costos de afiliación y traspasos
Coppel,37812.99517,60503.97737,Costos regulatorios
Coppel,52012.22838,124443.79345,Costos directos de operación de personal operativo y servicio a trabajadores
Coppel,12024.54161,29152.57701,Costos directos de operación por inversión y administración de riesgos
Coppel,180565.25094,300066.24994,Utilidad de operación
Coppel,20667.25777,42821.97579,Gastos generales de administración
Coppel,8.487,1317.943,Multas y otras sanciones administrativas
Coppel,20658.77077,41504.03279,Otros gastos administrativos
Coppel,159897.99317,257244.27415,Utilidad bruta
Coppel,395.03505,481.0772,Otros ingresos y gastos (neto)
Coppel,395.03505,481.0772,Otros ingresos
Coppel,0.0,0.0,Otros gastos
Coppel,-19652.73095,-40283.27927,Resultado integral de financiamiento
Coppel,-9122.89977,-17829.22613,Intereses cargo/favor (neto)
Coppel,-10587.94511,-22564.96432,Resultado por valuación a valor razonable (neto)
Coppel,58.11393,110.91118,Intereses a (cargo) favor por arrendamiento
Coppel,0.0,0.0,(Perdida) Utilidad en fluctuaciones en moneda extranjera (neto)
Coppel,48453.85579,101339.85332,Participación en los resultados de subsidiarias
Coppel,228399.61496,399348.48394,Utilidad (perdida) antes de impuestos a la utilidad
Coppel,67833.7291,116180.39951,Impuesto a la utilidad
Coppel,160565.88586,283168.08443,Utilidad (Perdida) neta
Coppel,0.0,0.0,Otros resultados integrales (ORI)
Coppel,0.0,0.0,Participación en los ORI de asociadas
Coppel,160565.88586,283168.08443,Resultado integral
