fecha,afore,tasa_interes_banxico,inflacion_anual,desempleo,comision,app_dummy,rendimiento,incremento_mensual,año
01/01/2020,azteca,7.25,3.24,3.22,0.98,1,7.173,0.1311,2020
01/01/2020,coppel,7.25,3.24,3.22,0.98,0,7.2871,0.6501,2020
01/01/2020,invercap,7.25,3.24,3.22,0.98,0,7.1886,0.5702,2020
01/01/2020,pensionissste,7.25,3.24,3.22,0.79,0,7.5419,5.718500000000001,2020
01/01/2020,banamex,7.25,3.24,3.22,0.88,1,7.3337,3.577,2020
01/01/2020,xxi banorte,7.25,3.24,3.22,0.88,1,7.4839,6.4326,2020
01/01/2020,principal,7.25,3.24,3.22,0.97,1,7.4923,0.89,2020
01/01/2020,profuturo,7.25,3.24,3.22,0.92,1,7.3678,6.0664,2020
01/01/2020,sura,7.25,3.24,3.22,0.92,1,7.539,7.0465,2020
01/01/2020,inbursa,7.25,3.24,3.22,0.92,1,7.3849,0.6108,2020
01/02/2020,banamex,7.0,3.31,3.26,0.88,1,7.578,-1.5885,2020
01/02/2020,profuturo,7.0,3.31,3.26,0.92,1,7.3515,-0.1886,2020
01/02/2020,coppel,7.0,3.31,3.26,0.98,0,7.1894,-0.1369,2020
01/02/2020,azteca,7.0,3.31,3.26,0.98,1,7.411,-0.0089,2020
01/02/2020,inbursa,7.0,3.31,3.26,0.92,1,7.7949,0.1533,2020
01/02/2020,pensionissste,7.0,3.31,3.26,0.79,0,7.5563,-2.0513,2020
01/02/2020,principal,7.0,3.31,3.26,0.97,1,7.5091,-0.17980000000000002,2020
01/02/2020,invercap,7.0,3.31,3.26,0.98,0,7.1278,-0.1005,2020
01/02/2020,sura,7.0,3.31,3.26,0.92,1,7.7373,-1.3187,2020
01/02/2020,xxi banorte,7.0,3.31,3.26,0.88,1,7.9967,-1.3996000000000002,2020
01/03/2020,sura,6.5,3.25,3.67,0.92,1,5.8322,-2.9573,2020
01/03/2020,banamex,6.5,3.25,3.67,0.88,1,5.6146,-4.5073,2020
01/03/2020,coppel,6.5,3.25,3.67,0.98,0,6.6068,0.12380000000000001,2020
01/03/2020,azteca,6.5,3.25,3.67,0.98,1,5.1784,0.023799999999999998,2020
01/03/2020,pensionissste,6.5,3.25,3.67,0.79,0,7.7933,-0.9085,2020
01/03/2020,principal,6.5,3.25,3.67,0.97,1,6.4127,-0.2923,2020
01/03/2020,profuturo,6.5,3.25,3.67,0.92,1,6.7512,0.6774,2020
01/03/2020,inbursa,6.5,3.25,3.67,0.92,1,10.0059,0.3892,2020
01/03/2020,xxi banorte,6.5,3.25,3.67,0.88,1,5.9214,-3.859,2020
01/03/2020,invercap,6.5,3.25,3.67,0.98,0,6.8618,-0.1867,2020
01/04/2020,principal,6.0,2.15,4.24,0.97,1,7.4409,0.9864,2020
01/04/2020,profuturo,6.0,2.15,4.24,0.92,1,6.2738,6.5923,2020
01/04/2020,coppel,6.0,2.15,4.24,0.98,0,6.7203,0.3942,2020
01/04/2020,invercap,6.0,2.15,4.24,0.98,0,6.5597,0.3914,2020
01/04/2020,pensionissste,6.0,2.15,4.24,0.79,0,7.6356,4.7842,2020
01/04/2020,inbursa,6.0,2.15,4.24,0.92,1,10.3568,0.3506,2020
01/04/2020,banamex,6.0,2.15,4.24,0.88,1,6.0732,3.3326,2020
01/04/2020,xxi banorte,6.0,2.15,4.24,0.88,1,6.0986,5.8072,2020
01/04/2020,azteca,6.0,2.15,4.24,0.98,1,5.4028,0.1492,2020
01/04/2020,sura,6.0,2.15,4.24,0.92,1,7.9312,9.4334,2020
01/05/2020,invercap,5.5,2.84,5.45,0.98,0,7.7514,0.8417,2020
01/05/2020,inbursa,5.5,2.84,5.45,0.92,1,9.978,0.42090000000000005,2020
01/05/2020,profuturo,5.5,2.84,5.45,0.92,1,6.9161,7.8293,2020
01/05/2020,principal,5.5,2.84,5.45,0.97,1,8.3683,1.3925,2020
01/05/2020,pensionissste,5.5,2.84,5.45,0.79,0,7.8125,17.002,2020
01/05/2020,azteca,5.5,2.84,5.45,0.98,1,7.9555,0.22329999999999997,2020
01/05/2020,banamex,5.5,2.84,5.45,0.88,1,9.365,7.8389,2020
01/05/2020,sura,5.5,2.84,5.45,0.92,1,10.9235,8.783999999999999,2020
01/05/2020,coppel,5.5,2.84,5.45,0.98,0,7.7156,1.0216,2020
01/05/2020,xxi banorte,5.5,2.84,5.45,0.88,1,8.7716,12.1504,2020
01/06/2020,banamex,5.0,3.33,5.52,0.88,1,10.7511,2.8652999999999995,2020
01/06/2020,principal,5.0,3.33,5.52,0.97,1,9.1018,0.7272,2020
01/06/2020,pensionissste,5.0,3.33,5.52,0.79,0,8.4547,5.7795000000000005,2020
01/06/2020,azteca,5.0,3.33,5.52,0.98,1,8.5741,0.1573,2020
01/06/2020,xxi banorte,5.0,3.33,5.52,0.88,1,9.8357,6.3659,2020
01/06/2020,invercap,5.0,3.33,5.52,0.98,0,8.6368,0.4378,2020
01/06/2020,sura,5.0,3.33,5.52,0.92,1,12.4264,5.6051,2020
01/06/2020,inbursa,5.0,3.33,5.52,0.92,1,10.3229,0.16210000000000002,2020
01/06/2020,profuturo,5.0,3.33,5.52,0.92,1,7.292,3.7809,2020
01/06/2020,coppel,5.0,3.33,5.52,0.98,0,8.1591,0.44670000000000004,2020
01/07/2020,principal,5.0,3.62,5.07,0.97,1,9.5474,0.7397,2020
01/07/2020,azteca,5.0,3.62,5.07,0.98,1,8.8977,0.23879999999999998,2020
01/07/2020,sura,5.0,3.62,5.07,0.92,1,12.6691,6.2023,2020
01/07/2020,banamex,5.0,3.62,5.07,0.88,1,10.7692,5.4561,2020
01/07/2020,profuturo,5.0,3.62,5.07,0.92,1,7.6593,4.8287,2020
01/07/2020,coppel,5.0,3.62,5.07,0.98,0,8.6937,0.9207,2020
